id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price,Location,Date,Day of Week,Total Sales
26805,Sean,Richardson,SR5213@gmail.com,sandals,fabric,navy,339,Location,5-Jun,Wednesday,4245
35529,Carol,Reilly,CarolReilly18@gmail.com,wedges,fabric,brown,429,Chicago,4-Jul,Thursday,313
49703,Paul,Henderson,Paul.Henderson@gmail.com,stilettos,fabric,red,430,Boston,26-Aug,Moonday,444
47183,Cynthia,Duffy,CDuffy1983@gmail.com,clogs,leather,black,451,New York,1-Feb,Sunday,333
83778,Joe,Perry,JoePerry3@gmail.com,ballet flats,leather,white,196,Salem,4-Mar,Friday,224
79139,Susan,Cash,SusanCash16@gmail.com,sandals,faux-leather,red,185,Weston,5-Apr,Saturday,444
81591,Theresa,Henderson,THenderson1993@gmail.com,stilettos,leather,white,342,Wextor,5-Jun,Sunday,33123
21506,Scott,Deleon,Scott.Deleon@gmail.com,stilettos,fabric,black,374,Paris,4-Jul,Monday,4324
77266,Zachary,Gregory,Zachary.Gregory@gmail.com,sandals,leather,red,216,Location,1-Feb,Tuesday,23
67264,Danielle,Merrill,DMerrill1998@gmail.com,wedges,faux-leather,red,461,Chicago,4-Mar,Moonday,123
19100,Danielle,Barron,DBarron1982@gmail.com,sandals,leather,white,313,Boston,5-Apr,Monday,123
26210,Marilyn,Finch,MarilynFinch92@gmail.com,sandals,leather,black,450,New York,5-Jun,Wednesday,455
